Video  No,Video Title,Video Link,Video Slot,Transcription,Timestamps,Information,Quotations,Speaker Name,,Video Length,Priority,Topic,Video Start Link,Video End Link,Generic Info,Citation,Video Quality
,Mulcher machine at work,https://youtu.be/EGYx6E-O5Wk?si=jpd1fji3zOKgkzrS,Slot two,"Mulcher Machine at work: Mulcher at work - this is what is needed for  shifting to PQNK. This step ensures keeping roots intact for the infiltration of water and air, and also properly covers the soil with thick, fineorganic mulch, maintaining soil temperature and moisture. Mulch is a separate function; therefore, it requires a different machine. We comine two machines for precision planting for the best results:the mulcher and the planter. ",Start 00:00 End 00:26,,,,,,,,,,,,
,Mulcher machine at work,https://docs.google.com/document/d/1Ed_8hAK8sg8egpeHTLEw3SVITn40a26CudDt7vJ0F2A/edit?usp=sharing,Slot two,Smaller the dead much better i works to cover the area. It decorpses faster. Strong winds may below away very small sized daad mulch.,,,,,,,,,,,,,
,Irrigation methods and water management,https://youtu.be/8rEaJjBY6d8?si=f7G7hBWJ4-JltYNg,Slot two,"Irrigation methods: Water to plant is like blood to us (a carrier): it dissolve, carry and feed minerals to plant cells and evaporate:Gravity flow: flood, border. furrow, raised-bed; meant for flatlands. Pressurized flow: sprinkler, drip, subsurface; meant for rolling- land, sandy soil or water scare areas. Each method is site specific. Drip irrigation is considered is considered most efficient: It is not; it is costly, not suitable for many open field crops, is difficult to maintain by unskilled worker, reliance on agrochemicals for plant growth. Raised-bed method is more efficient, imporve soil fertilityl is cost effiective, easy to operate &manage -save over 85% water when soil is covered with organic mulch",Start 00:00 End 05:00,,,,,,,,,,,,
,Furrow Irrigation in sandy soil on PQNK,https://youtu.be/LrZwUR4nxGw?si=OasRL3nzKYPiXhGG,Slot two,If in there is lot sand in the our lands and we want to shift this land into the PQNK system. Sand particles are larg so there is a space between each other so the water do not stay between the beds. The water go down  from the roots of the crops are plants so if we mix the  clay on the top of the drainage then the water will stay on the top of the drainage and  humidty will remain in the beds.,Start 00:00 End 04:00,,,,,,,,,,,,
,Irrigation under PA/PQNK process,https://youtu.be/qm8_HARR8nY?si=OGLJOchZRXWTbl4Y,one and two ,That is system of PQNK that how we should give the water to the crops those are on the beds,Start 01:00 end 03:00 ,,,,,,,,,,,,
,Transplanting Rice on Raised Beds in Moist Soil,https://youtu.be/9MSzvQOmZbk?si=OxL9c_nh1SPjqjD7,slot two,"Transplanting Rice on Raised Beds in Moist Soila:  Many countries have acknowledged first step of the PQNK research (transplanting rice on raised beds in moist soil rather than in soil inundated with water), PQNK was presented for the first time at the international Rice Congress held in Hanio, Vietnam, in 2010. Thereafter, the ideawas taken up by various operators; some opted for furrows, while other chose irrigation with a drip system. However, they have opted for plastic mulch rather than organic. Organic mulch is one of the fundamental rules of the PQNK process. PQNK prefers planting seeds rather than seedlings, using the SIPP (Slit Insertion Precision Planter- No-till Planter). It offers many benefits over transplanting.",Start 00:00 End 03:00 ,,,,,,,,,,,,
,Sugarcane Seed requirment and Planting method on PQNK,https://youtu.be/eBjFRF7w4tI?si=t9BcWrEsJtBXZCs6,slot two,We can also grow the rice on the beds with PQNK system because when we grow the rice in the land and we give the water in the form of blood then the insects those are growth the crops those die and therefore we use the different fertilizers and sprays and out crop feel lack of water and out crop hunt different disease so when we grow the rice with PQNK system then it save our water and we do not need the  fertilizers and spray's. PQNK system is also save our alot of money and save our time. And we can earn good money.,Start 00:00 End 01:00,,,,,,,,,,,,
,Sugarcane Seed requirment and Planting method on PQNK,https://youtu.be/jcpYul_HtyI?si=GnUT1ULCpLtL11MH,Slot one two ,Complete system of the PQNK of the sugracane. So in the PQNK system we have to make a small hole and we have to grow only one seed of the Sugracane and from one Seed we can make 18 seeds with out any cost and with out any fertilizers.,Start 03:00 End 06:00,,,,,,,,,,,,
,PQNK Planter planting No Till wheat seed on beds,https://youtu.be/DupAxKSXLcI?si=OcTxqkmnNhmvOmff,slot two,We can grow the wheate on the beds system we have to grow the wheate seed with mulch and we have to give the water to the crop it depends on the clay  how many capacity  the clay have to cool the land. The humidty is required to the crops if the hmidty is in the land the crop will grow very soon.,Start 00:00 End 03:00 ,,,,,,,,,,,,
,Wheat sowing on permanent raised beds by following PQNK process,https://www.facebook.com/share/v/18ytL1vZvt/,slot two,pernment raised beds by following PQNK process.  We have to grow the wheate seed and harvest the seed and we have to give the water if the rain not come we can judge from the  colour of the crop that what thing is required to the crop and we have to harvest the crop and we do not need to plough the land and we do not  give the fertilizers to the crop.,Start 00:00 End 01:00,,,,,,,,,,,,
,Seed placement with low soil disturbance,https://youtu.be/7HK6CVpvtDg?si=jjQ_M9FCLjN4DrnK,slot two,"Low soil disturbance: True low-disturbance one-pass no-thillageplanting. Accurate seed to seed distance. Confines soil disturbance to sub-surface. Soil biota, a plants' FOOD factory. Micro-organizisms and worms takes over ground and bring it back to life . No-till planting system- A Unique Seed Environment. Creats unique  horizontal seedslots. Soil covers the seed authomatically. Traps humidilty in slot inform of liquid&vapr. Conserves soil moisture. Seed ermiates even in low moisture conditons. Guarantees slil-to-seed contact",Start 00:00 End 07:30,,,,,,,,,,,,
,Why adaptation of PQNK is felt hard?,https://youtu.be/whLlM8H4Zq0?si=f32F73ZJoo4qAhFK,slot two,"Why adaptation of PQNK is felt hard? What is, considered difficult in PQNK and differs with ACI. Laser levelling: ongoing since1985, no issue. Raised bed making: Proper shaper is not available, everywhere, however potato ridger can be used as a subsittute. 1ST time plannting.; Moisture absorption to the bed center is due o poor water absorption capacity of soil, Solutions are explained in lecture. Planting in mulch covered beds. Hand dribbler and no-till precision planter; Maintaining seed to seed distance for good crop stand. Precision planter place seed at accurate seed at accurate seed to seed distance. However, crop stand depend on seed germination rate and its placement in soil. Irrigation: Frequent periodically is our mindset. We always over irrigate, which is more harmful than scarcity. Harvestin; Harvesting operators are reluctant to harvest, reaper is a immediate solution. Wheel adjustment of the harvester to fit in required. Maintaining beds as a perament feature. Bed renovation is required, every few years. PQNK  is the process designed by Allah, for every place and every kind of plant. PQNK is a solution to regenerate soil system that works everywhere for every crop.",Start 00:00 End 19:00,,,,,,,,,,,,
,Weeds issue in corn field on PQNK,https://youtu.be/kybl2ssAXBo?si=7wXiK-XYN2Qb2NAE,slot two,When we grow the crop on the PQNK system then first year we face difficulties but of the herbs will produce  we have to cut them.The herbs those are big we have to cut them because there are two things which are required to the crop light of sun  and water. The herbs those are small from the crop those are not dangrous for crop because these herbs are covering to the land. so on the PQNK system there is small chance to come the diease on the crop. If the disease is come on the crop then our mulch system not good out PQNK system is not good.,Start 00:00 End 02:00,,,,,,,,,,,,
,Q&A Innovative Solutions for PQNK Farming in waterlogged soil,https://youtu.be/oPkXzrr2Q4I?si=wWy2YtmgdVxPpX3_,slot two,There are many areas where the flood is come in every year and effect the bed system. In many areas the rain is come a lot and it effect the bed system. We check in one year that how many rain come in one year. So if the flood is come every year and our bed hight is 2 or 3 anches then we should increase the hight beds. And we should also grow the profitable crops. Because we can grow all the crops those  one the beds.,Start 00:00 End 06:00,,,,,,,,,,,,
,Okara on PQNK,https://youtu.be/LM75yP0WmzI?si=XHqb3Ei2aI5CB5WZ,slot two,We can also grow the okra on the beds with PQNK system. And the okra which is produce with PQNK system have more nutration and also taste and more helpful for our health so we should produce crops without any cost. Because when we give the fertilizers to the okra then insects die. And the fertilizer is a posion. ,Start 00:00 End 01:40,,,,,,,,,,,,
,Cucurbits vegetables on PQNK,https://youtu.be/ja7o2fRXGv0?si=kXRBlwtAI6FGIrDN,slot two,We can also grow cucurbits on beds form the PQNK system. So we grow vegetables on beds then we do not give water in one day or again we have to give water only those time when the crop or vegetables will ofter  we can judge from the colour of the crop that what thing is required to the crop or vegetables. If the Cucurbits roots are big then we have to cut them only those roots which have not cucurbits. ,Start 00:00 End 05:00,,,,,,,,,,,,
,Tomato 🍅 on PQNK,https://youtu.be/A1078HeHzx0?si=mTR3WRpGD1-ZTTLr,slot two,"A farmer from India reports that: He planted tamato crop on matured beds, in between the cucumrbits. It is an open field for multi-croping. Only one irrigation at the time of sowing. No fertiliser is applied. No pest or disease ptoblems appeared, so no application of poisons. Average Yield per plant is 10kg. Average yield pr pnat is 10kg. Size is over 200g per fruit. Fruit is spotless. Shape and color is the best. Taste outclass, buyers are playing extra. Shelf life of the fruit is more than double.",Start 00:00 End 02:30 ,,,,,,,,,,,,
,Chillies 🌶️ on PQNK,https://youtu.be/qv_6M4DOgkA?si=tXwzPQLZzYcmTMlq,slot two,"Chiilies on PQNK: Chilly is a perennial plant. which means it can be grown around the year.One plantation can live a long as 15 year oreven more, only trick is to help the plant sustain in winter. PQNK is the solution. Collapse of soil system has made chilly crop dependent on feritilizers, which invite sucking insects and virsuses. When soil is recovered by following PQnK steps, nothing is required for a good yield. Laser level the field, make longest fields, break hardpan by subsolier,at least 26 inch deep, water wash the filed. Make 42'' beds, 8'' to 10'' wide to accommodate tractor pass through and for water supply drainage. Irrigation regime should be replaced wih soil moisture management, for germination as well as to keep plants close to the wilting point, Water management will make you succed in getting highest yield, best quality at the lowest cost. Germination of chillies seed depends on quality of seed, check germination rate to adjust seed dropping up in the hill.  Best row to row distance is 26'' on both sides, 8'' away from edge of the bed (42-16=26'') and 8''+18''=26. Plant to plant distance is proposed at 12'' or 16'', depending upon variety and soil type, Plant growth in loan soil is more. (space at 16''_13,200plants per acre)than in clay (space at 12''_17,600 plants per acre). New beds should be well covered with (3''-4'' mulch, 2 to 4 weeks before planting seedwith no-till precision planter or hand dribbler, If transplanting is preferred, dribbler is suitable to plant seeding through the mulch. Getting number of plantsat the proposed distance is the major tast. rest, is to rest,. If PQNK steps are properly followed, plants will have no mineral deficiencies and there won't be weeds, pests or disease. Transplanting is meant to save time, placement of small seeds in open field soil and moisture management.",Start 00:00 End 17:00,,,,,,,,,,,,
,Organic-Approved-Pesticides.,https://canr.udel.edu/wp-content/uploads/sites/16/2019/11/20151925/Organic-Approved-Pesticides.pdf,,There are many pesticides those help to grow the crop but when we plough the land they distrub and they die and when we use fertilizers then they die because is the fertilzer is poison. And we spray  the fertilizers on the plants those are effected the fruits so when we spray then he insects those are helping to grow the plants then they die. PQNK system is one of the best system it increase the insects. Because when we will not give the fertilizers and when we will not distrub the land these insects will increase and only we have to grow the seed and harvest the crop.,,,,,,,,,,,,,
,100 % Natural & Pure White Kaolin Clay Fine Powder 100 Gram,https://s.daraz.pk/s.ZvysN,,Natural & pure white kaolin clay fine  powder 100 gram . Product details of 100% natural & pure white kaolin clay fine powder 100 gram. 100$ Natrual & pure white kalolin clay fine powder 100 gram.100% natural & pure whie kaolin clay fine powder 100 gram. ,,,,,,,,,,,,,
,Diatomaceous Earth Powder 200g,https://s.daraz.pk/s.ZvyHr,,Nature's most diverse product - diatomaceous earth is an amazing powder that can be used for a wide range of applications from health supplement to pet care. Take a look at some of our reviews for a more  thorough list of benefits and use cases.,,,,,,,,,,,,,
,Gardening Shop Karachi,https://digidokaan.pk/gardeningshop/product/182872,,If any pesticide attack on the plants and effect thier leaf then we can use the medicine horticultural. It also die those perticides which are dangrous for plants and for crops.,,,,,,,,,,,,,
,Kisaan Home,https://www.kissanghar.pk/product-details?name=Neem-Oil-Extract-For-Gardens-Insecticide-Fungicide-Miticide-100ml-Pyrethrins-&c=542,,We can buy all the agriculture machines online from   other cities with home delvery. It also our a lot of time  and it also safe money and we can we get good things.,,,,,,,,,,,,,
,Cinnamic Aldehyde,https://biopharmacy.pk/product/cinnamic-aldehyde-aroma-chemicals/,,This also used saving the plants and crops from different harmfull pesticide. When the pesticide attack on the crops or plants then it also damaget the seed of the plants. On the seeding time the harmfull  pastcide attack on the plants. If we use the madicine for killing these harm full pesticide then we can save our plants and crops. But in the PQNK system there is a little bit chance that any pestcide attack on plants and crops and affect. ,,,,,,,,,,,,,
,"Get rid of Mealybugs, Dieback, Aphids, Scales and Whitefly/Garden Pest Control/ Weekly Pest Control",https://youtu.be/XMkTGi_8i4c?si=0jFQUgVo_MS4c767,slot two ,"How we should protect the plants from different pesticide and different disease like Mealybugs, Dieback, aphids, scales, and whiteefly/ garden pest control/ weekly pest control. We can make madicines in our home and we can finish the harmful pestcide. Mealybugs is one of dangrous pestcides so moslty we find them gardens and it also effect the leafs. We can also kill them by using the medicins. Make 20 gram detergent soap and mix it in the clean water. And spray on the them they will kill soon. So if we use the brush then  it will take more time but it is  is more best we will use the bursh on the every root of the plants and every leaf of the plant. Dieback are harm full pestcides and mostly we saw these insects in the rose plants and they on the roots of the plants. We should cut the roots those are effected with dieback pestcides.  Make fungi side powder mix this powder in the water. We have to wet the poweder in water only. And the roots where effect from this disease and use this powder on cutting place. Aphids are dangrous for the plants they are mostly  on the back side of he leaf and they are in the colour of white and black. We can use the  detergent soap  for this desease we have to spray two or three times in one day. The next is whiteflies is also effected to the leaf and plants  and they are mostly on the back side of the leaf in white colour  for killing these insects we should use the soap water and spray on them two or theree times in one day. The next is scales it is dangrous for the plants. Mostly we found these insects on the roots of the plants. So killing these insects we use vansh vabrational mixture of water and hydrogen  peroxid  spray or use tooth bursh. and burshed on  the roots. In every week we have to check of our plants.",start 00:00 end 5:27,,,,,,,,,,,,
,Q&A on Fruit Fly update 18 4 24,https://youtu.be/c_QfwkHAlfI?si=wQc-ZRM9iUWRE7Kv,slot two ,"Q&A ib Fruit Flies; Nature provides several layers of protection: Healthy plants with a strong immune system. A natural odor that repels pests. Protective layers on fruits. Protective layers on fruits. Hard skin that makes it difficult for insects to bite penetrate, and inject eggs.  Bacillus thuringiensis (BT)   is a microbe naturally found in soil. It prodices proteins toxiw to immature insects (Larvae). ",Start 00:00 end 14:30,,,,,,,,,,,,
,PQNK Training 1.8,https://youtu.be/zRpnPmXBgnk?si=NzPw1AILk5LADeY7,slot two ,"If we fallow the PQNK then  the harmful insects can never attack on the plants and fruits. Because when a  insects come and sit on th  leaf or fruits and they sting on the fruits but for this the fruit do not effect because the layer  of the fruit is  hard and sting break. So the harmful insects do not effect  the Furits. If we fallow the PQNK. If we are growing different crops and different plants without PQNK then we have to give fertilizers and we have to give the spray. And we spend a lot of money on it. Maybe in this from one mistake the fruit will effect. If we give  little spay less than necessary then our plants will effect. So if we give the spray more than necessary than our fruit will effect. So in the PQNK system there are a lot of microbes those are in one plantes. There are different types of micros to fight dirrerent insects. So PQNK system save our time and save our save our money and save our 90% water. We can grow  produce the crops without any cost. How PQNK protect plants? Bt is a microbe naturally found in soil. It makes proteins that are tocxic to immature insects. There are many types of BT. Each targets different insects groups:  Sukin, chewing, eatin, caterpillars, bollowrms, beetles, mosquitoes, flies,and moths. Bt makes toxins that targest insect larvea, when eaten. In their gut, the insects die within few hours of infection and starvation. PQNK develp enabling environment in soil for BT microbes to grow, this is why crop plans are free from pest and virus damae. Against every nests there 1,700 nredators. When natural protection system is in work; BT, GMO, seed and pesticides are NOT, required.  ",Start 00:00 end 16:00,,,,,,,,,,,,
,Termite is a helping hand in PQNK,https://youtu.be/1e7n_GeNcOY?si=iVdEWwJz6xkoLwym,slot two ,Ther are many peoples those thought that the termite is harmful for the plans and crops. But the termite eat only dead plants and dead grass and turns it into the fertilizer. It is  good for the plants because it provide the fertilizers to the plants and crops by naturally. So in the PQNK system we have to not spray the termite.,Start 00:00 end 01:58,,,,,,,,,,,,
,Termite in Cotton Crop,https://youtu.be/gr02EYH4ZPU?si=ey7nh061wQqBKTli,slot two ,"Termite in Cotton Crop. Termies have many different breeds; only of few of them can eat live plant tissues. These termities are more in the Afircan countries. All other types are scavevgers, meant  to  grind dead plant tussues for microbes to recycle. In many cases where the hard pan in the soil is intact, anaerobic microbes develop, which damage the root hairs. Though the plant many still look healthy, many parts of it start decaying. This is when termites play thier role in the recycling process. ",Start 00:00 end 05:00,,,,,,,,,,,,
,Precision weeder & aerator - Revolutionizing Rice Production: Innovations in Crop Cultivation,https://youtu.be/FdJ3WSkMSlM?si=gpzIB_y6LHFu0OwR,slot two ,"Revolutionizing Rice production: Pedaver's Innovations in Crop Cultivation. Pedaver, The Transformative producer, has meticulously delved into natural phenomena, comprehending intricate natural processes and deciphering algorithms that underlie soil fertility and vegetation. The pinnacle of this endeaver emerged when padaver introduced an innovative approach to rice production, diverging from the conventional water inundation method. This poineering tecjmoque made its global debut in 2008, signifying a monumental advancement in the field. To automate the various phases of this revolutionary process, an array of ingenious machines was conceived. Among them were the bed-shaper, the dry soil transplanter, and a precision weederand acator. The latter, showcased in a succinct video, operates with exceptional accrracy, working within crop plant rows placed only eight inches apart, to combat the proliferation of weeds-- an acknowledged hindrance to rice production in submerged soil. Crucially. as the natural process of crop procuction progressed, the role the precision weeder & Aerator evolved. Once the PQNK process has evolved for all crops and reaches full maturity, this machine shifts from weed eradication to targeted weed suppression. Its intervention os strategically confinded to areas where weeds emerge due to the aradication o targeted weed suppression. Its intervention is strategically confined to areas where weeds emerge due o the absence of adequate soil covering via organic mulch, alongside providing shade for the cultivated crop plants. Padaver's contributions transcend the mere creationof these innovative machines; they embody a transformative journey in agricultural practices, addressing ecological concerns and advancing the comprehension of sustainable crop cultivation. ",Start 00:00 end 05:01,,,,,,,,,,,,
,Weeds management by using PQNK process,https://youtu.be/gyRV9yRmE7o?si=TfGKRRPL3HjAL4sZ,slot two ,"In the PQNK system mulch is very important because if do not do mulch correct way then weed will grow and roots and herbs will grow our crop will not produce our soil will not retain moisture and our seed will not grow. On PQNK system we can grow every crop and like rice,cotton,wheate and peanut every crop we can grow. In the first year we will face some difficulties but if we fallow the PQNK step step then we will give good result. On minimum cost. ",Start 00:00 End 08:00,,,,,,,,,,,,
,Citrus Alfalfa intercropping on PQNK,https://youtu.be/LUyHBnTBR5M?si=Td-waIvPjCyPS27D,slot two ,PQNK system is also successful system. Because it is natural systmem we are fallowing the natural system. Nutral system is comming since 40 lac year ago successfully. It is not possible that  we fail in PQNK. There are many peoples those fallowed the PQNk system and they susscessed. And the crop which is produced from the PQNK is also have more nutrition. Than the food which is produced with fertilizers and ploughing the land. ,Start 00:00 End 01:00,,,,,,,,,,,,
,Multi Cropping with PQNK,https://youtu.be/BgctW7EXmgY?si=131h0mPsAHI7cmve,slot one and two ,If we harvest a crop and we want to grow the next crop then first of all we have to check humidy of the land if  the humidy is not avaliable in the land then first we have to give the water to the land and then grow the seed because with out humidy the seed will not grow. So the humidy is very important for growing the crop. The two things are required to the crop for growing first is water and sun light. We have to give the water only those times when the crop will change the colour. We can judge from the colour that what thing is required to the crop.,start 02:30 end 03:13,,,,,,,,,,,,
,Wheat and Rice Crops Rotation in PQNK : Urdu Voice Note of 3 minutes -,https://drive.google.com/file/d/18mZoSf56UEdxC0u9o6T1iQfJpHKNIXm7/view?usp=sharing,slot two ,How we will grow the next crop after before harvesting the one crop? If we have grown the wheat in the field.  If the 20 or 21 days will left from cutting one crop and when will we give the last   water to the crop then we grow seeds of he next crop. Like this if want to grow to the next crop then when we sill give the last water to the crops then will grow the seeds of the next crop. we can grow all the crops by fallowing this procedure for growing the next every crop. ,Start 00:00 end 02:00,,,,,,,,,,,,
,"Compost making, uses voice & farmer comments",https://youtu.be/C1381wa2Xr4?si=YvEhTd0hADoAfjgl,slot two ,"Compost making, used farmer comments. What is orobic? The place where the air present is called orobic.  The place where  the air is not presend is called nonorbic.  The dungs of he cows or other animal  through in one place then there is lot of heat produce in the the dung. The micros or insects are died those in the dung and this dung is nonorbic. So we have to increase the no of insects those are helping to grow the crop. so we have to   not through the dung we have to through the dungs in orobic from.First we have to throw the dung in the beds the hight should be 5 6 inches and  there should humidy in the dug There should not be heat in the dungs because due to heat the organisma are died . So that the air can go in the dung. Compost is not a fertilizer, feed or mixture of plant nutrients . It is just an inoculum, may be used once o trigger the life in soil. 1/2 ton in an acre is more than sufficient. Conditions in soil will develop & sustain soil biology that will provide minerals that a plant needs to produce optimally. To make an ideal compost, se plant resudue and animal dung. It should be put on hardstandiong in ling swaths, like in picture. keep it moist and turm it frequently to cool tempreature insicde. It is matured, when all the material looks same / similar. ",Start 00:00 end 10:10,,,,,,,,,,,,
,Role of Organic Matter in the Soil : Urdu Voice Note of 2 minutes,https://drive.google.com/file/d/15CfL1qSFDrzbKHTMTwvLOi1kCNplm4wS/view?usp=sharing,slot two ,"There is a lot of food for plants in the land. And the micros give the feed to the plants. And the micros eat the organic matter. There is two types of organic matter how much of teh plant's body is outside the ground .  The more aplant isoutsidethe groun, the more it is inside the ground. And if cut  the crop from up to land then the crop which are down from ground. The body which is down from ground this become the way of micros to give the feed the plants those are alive. ",Start 00:00 end 01:30,,,,,,,,,,,,
,PQNK process to recover saline soil,https://youtu.be/naGoRMJiq-A?si=3gx5825fkTq2wXOr,slot two ,"There are many lands those are saline soil.  We cannot produce the crops there. So PQNK process to recover saline soil. Inundated soil accumulate salts that clog soil pores and reduce water absorption, retention, and acration, which can lead to poor crop  performance. To improve soil health and crop yield, follow these steps: Make longer fields to facilitate efficient machinery operation and reduce wastage.  Breake up hardpan with a subsolier, making sure to properly break the hard layer in the soil, normally in the range of (7'- 17'') by digging a few pits to check. Wash the soil with flood irrigation, mixing 10kg sulphuric acid with the water. Prepare the soil by mixing cover crop seed with homemade acrobic compost(20kg) and broadcast it evenly. Then make permanent beds. The transidtion should be made during mild weather, in spring or autumn. Once the cover crop gained a reasonable height, use a crimper or mulcher to cover the beds with mulch, but never uproot the plants, The fields is now ready for planting of cash crop using a no-till precision planter. Note: It may a few cycles of crops to fully recover the field. In waterlooged areas, make higher raised-beds. ",Start 00:00 end 10:00,,,,,,,,,,,,
,Crop production in saline soil using PQNK - The Natural Ecosystem Science,https://youtu.be/4bmDbtiOtVA?si=43W6-f88XWeX7mzb,slot two ,"How we change the saline soil into a good clay which can produce the batter crop. On the PQNK system We can produce the crops. In the saline soil the land in the in orobic form. There is no air in the saline soil due to this the micros die. Due to this our land cannot produce the crop. In the saline soil inundater soil accumulate salts that clog oil pores and reduce water absorption, retention, and acration, which can lead to poor crop performance. So we have to make the longer fields . And break the hardpan. Hardpan is very important in PQNK because due to this the crops root do not go down and they can effected with strom and heavy rain they fall so we have to breake the hard pan with subsolier . we have to pough with  this two or three times.  Our land is cover from up the ground with  salt we have to mix the sulphuric acid  in the foold irrigation and pass the water up from the ground. And then we can grow the crop on the beds and we have to cover the land. ",Start 00:00 end 01:30,,,,,,,,,,,,
,Why Salts Surface on Land and its Cure : Urdu Voice Note of 1 minute,https://drive.google.com/file/d/1W8FI3alNu4LAbY_utqxbYx5nu7879bg8/view?usp=sharing,slot two ,"Why the salt come on the surface of the land? There is salt in the water which we give to the fields. Down from ground there is hardpan. And the water stand up from hard pan. So the wateter go up in the form of vapor. So the salt stay up the ground. To improve the soil health fallow these steps. Make fields to facilitate efficient machinery operation and reduce the wastage. Breaking up hardpan in the rang of 7'-17'' by digging a few pits to check. Wash the soil with flood irrigation, mixing 10kg sulphuric acid with the water. Prepare the soil by mixing cover crop seed with homemade ocrobic compost (20KG)  and broadcst it evenly. Then make permanent beds. The transidtion should be make during mild weathe, in spring or autumn. Once the cover crop gained a reasonable height, use a crimper or mulcher to cover the beds with mulch, but never uproot the plants. The fields is now ready for planting of cash crop using a no-till precision planter. Note: It may a few cycles of crops to fully recover the field. In waterlooged areas, make higher raised-beds. ",Start 00:00 end 01:15,,,,,,,,,,,,
,How To Increase Fertility Of Soil | Basic Information About Soil ||,https://youtu.be/O7c0F-xZMTo?si=6rXWa2jUYsULKRh6,slot two ,"Soil is real the wealth of a Nation; The most meaningful indicator for the health of the land, and the long-term wealth of a nation, is whether soil is being formed or is lost. If soil is being lost,so too is the economic and ecological foundation and which production and converation ar based; Soil Health Determines: Plant health. Animal health. Human health. Ecosystem health. And even the health of the ecosystem:TOP SOIL: Conventional Agriculture leads us to lose around 6 kg of soil per every 1 kg of produce. It takes 1000 years to form 3 cm (1.2"") of topsoil. Topsoil, which has supported life since time immemorial, was never plowed and hence protected. Our aim in Agriculture (CA) is safeguarding soil, the foundation of the ecosystem, and improving farmers' income. What Should be in Soil? Water&vapoits 25%- overall; Air 25%- overall; Organic matter5%- we have about 0.5%; Sand (largest) 40%-dry soil; Silt (finer)25%- dry soil; Clay(finest) 25%- ery soil: When the sand, silt, clay, and humas are each present in mentioned quantities, it is a good loam. Why do we plough soil? Seed requires 2 things for germination. Moisture that it gets from Soil. for this seed to soil contact must be firm. Warmth that it gets from Sun: for this we plant seed when temperature is favourable. We plow soil to improve seed to soil contact for better germination. And eradication of weeds. There is no other reason. How Seed Germinates? Seed composition.Embryo-live and second thing is that preservative-oil which protect the embryo and third thing is that  Food packet which protect the seed for a long if any time rain is come on it then it started grew and it can save the seed for a long time thousands years. When we plough the land then our land is disturbe and for this the insects that are growing the crop die. So we increase the insects.   And we can grow a batter crops with out any cost. A Unique Seed Environment; Creaes unique horizontal seed slot (most others are vertical). Self covers the sloths. Traps soil humidity in the slot in form of oiquied and vapour. Conserves 50-100mm (2-4"") soil moisture per year. Guarantees soil-to seed xontact. No slot-shrinkage problems.There are three types of land the best  land is that which can obsorb the land  and keep cool the land. And which have humidity. We can check land before growing the crop. First we took some soil, put it in a glass jar, and added water to it. if the water moves above the top layer of the glass  or top layer of the glass or is on top of the soil, then our soil is very good.if the water if the water goes to teh bottom of the glass, then there our clay is not good then it can called sand because sand particles are big than clay particles. But their solution is avaliable if we mix the sand and clay then it can more helpful for crops. And the water for plant is like blood to us- they are food carries. they dissolves food & takes it to each body cell, we have heart pupm blood, plants use Osmosis process! Plant roots prefer going to water rather than water coming to the roots Plant suffocates if water stands in the roots.",Start 00:00 end 46:00,,,,,,,,,,,,
,Sustainable Natural Farming System,https://drive.google.com/file/d/1DpZm480V6E_02XOHUQ7i4SZnFfS8QVgd/view?usp=drive_link,,"Sustainable Natural Farming System. What is PQNK? PQNK is the abbreviation of Paedar Qudratti Nizam Kashatkqari  ( to be pronounced as picinic) Which means sustainable nutral farming system in URdu and it is also referred to as to as paradoxical Agriculture. Asif Sharif has conceptualised PQNK through first-hand experience on his own land in the indo-gangetic plains of pakistan. He later founded pedevar, a company that works with thousands of farmers to disseminate the PQNK system and develop approprate mexhanisation. Initially, after idenfifying  that inundation, soil disturbance, and bare land are contrary to the natural processes of soil fertility and vegetation, Mr Asif developed the raised bed planting system. Rice was the first crop tested on Asif's raised beds as conventionally it is grown under flooded conditions. This was to demonstrate that water serves as a nutrient carrier, and only the water absorbed by the roots and transpired from the leaves is needed fpr the plant development. At this stage, Asif came across the system  of Rice intensification (SRI) and gained insights into optimal plantpopulation, i.e, row spacing and plan-to-plant distance, After achieving success by reducing rice plant density, the next objective was to maintain soil coverage. Rice crop residues had been utilised for his purpose. Soon PQNK developed intoa more comprehensive farming method for all crops and trees that combines SRI and Conservation Agrculture (CA), with natural farming as an oveaching principle. The PQNK approach replicates natural dynemics in agricultural production systems, like avoiding of syntheric amendments, keeping upland for vegetation and lowland for water supply and drainage of exsessibe water, as shown below. ",,,,,,,,,,,,,
,Efficient Use of Chemical Fertilizer : Urdu Voice Note of 2 minutes -,https://drive.google.com/file/d/1URrJPxeAhmBZ3r8G7TSF1FQt8ytBNkPh/view?usp=sharing,slot two ,how we should give the fertilizers to the plants or crops? There are many methods we can give the fertilizers to plants or crops. But the best method is that if we give the with flood irrigation system then we can mix the fertilizer in the water. In this method there is little chance that the fertilizer waste. And if want to spray to the crops or fertilizers with nitrofast then we mix 3 kilo nitrofast in 100 litter water and spray on the plants or crops. We should spray on the morning or evening time. So that the spray can  stay on the leaf 1 hour and the plants absoration. ,Start 00:00 end 01:25,,,,,,,,,,,,
